School name
Kunming University of Science and Technology
Lanzhou Jiaotong University
Lanzhou University of Technology
Liaoning Medical University
Liaoning Normal University
Liaoning Shihua University
Liaoning Technical University
Liaoning University
Liaoning University of Technology
Liaoning University of Traditional Chinese Medicine
Ludong University
Minzu University of China
Mudanjiang Normal University
Nanchang Hangkong University
Nanchang University
Nanjing Agricultural University
Nanjing Normal University
Nanjing University of Aeronautics and Astronautics
Nanjing University of Chinese Medicine
Nanjing University of Information Science and Technology
Nanjing University of the Arts
Ningbo University
Ningbo University of Technology
Ningxia Medical University
Ningxia University
North China Electric Power University
Northeast Agricultural University 
Northeast Dianli University
Northeast Forestry University
Northeast Normal University
Northeastern University
Northwest A&F University
Northwest Normal University
Ocean University of China
Peking University
Qingdao University
Qingdao University of Science and Technology
Qinghai Nationalities University
Qinghai University
Qiqihar University
Shaanxi Normal University
Shaanxi University of Chinese Medicine
Shandong Normal University
Shandong University of Science and Technology
Shandong University of Technology
Shanghai Conservatory of Music
Shanghai Maritime University
Shanghai Normal University
Shanghai Ocean University
Shanghai University of Finance and Economics
Shanghai University of International Business and Economics
Shanghai University of Political Science and Law
Shanghai University of Sport
Shanghai University of Traditional Chinese Medicine
Shantou University
Shanxi University
Shenyang Aerospace University
Shenyang Jianzhu University
Shenyang Ligong University
Shenyang Normal University
Shenyang University of Technology
Shihezi University
Sichuan International Studies University
South China Agricultural University
South China Normal University
Southern Medical University
Southwest Jiaotong University
Southwest University
Southwest University of Finance and Economics
Taiyuan University of Technology
The Central Academy of Drama
The Graduate School of the Chinese Academy of Agricultural Sciences
Tianjin Foreign Studies University
Tianjin Medical University
Tianjin Polytechnic University
Tianjin University of Finance and Economics
Tianjin University of Science and Technology
Tianjin University of Technology
Tianjin University of Technology and Education
Tianjin University of Traditional Chinese Medicine
Tianjing Normal University
University of Chinese Academy of Sciences
University of International Business and Economics
University of Science and Techology Liaoning
University of Shanghai for Science and Techology 
Wenzhou University
Wuhan Institute of Physical Education
Wuhan Textile University
Wuyi University
Xiamen University of Technology
Xian International Studies University
Xian Shiyou University
Xiangtan University
Xidian University
Xinjiang Medicine University
Xinjiang Normal University
Xinjiang Uygur Xinjiang University
Yanbian University
Yangtze University
Yangzhou University
Yanshan University
Yantai University
Yunnan Agricultural University
Yunnan Normal University
Yunnan University
Yunnan University of Finance and Economics
Yunnan University of Nationalities
Zhejiang Gongshang University
Zhejiang Normal University
Zhejiang Ocean University
Zhejiang Sci-Tech University
Zhejiang University of Science & Technology
Zhejiang University of Technology
Zhengzhou University
Zhongnan University of Economics and Law
